TEAM 1,TEAM 2,TIME,ML 1,ML DRAW,ML 2,SPREAD 1,SPREAD 2,OVER,UNDER
Newcastle United,Manchester United,15:00,7.500,4.870,1.429,1.934,1.952,1.961,1.909
Southampton,Tottenham Hotspur,10:00,3.710,3.600,2.050,1.847,2.050,1.884,1.990
Watford,West Ham,10:00,3.510,3.600,2.120,2.060,1.840,1.854,2.020
Crystal Palace,Norwich City,10:00,1.625,4.010,5.800,2.090,1.813,1.952,1.917
Leicester City,Liverpool,15:00,7.080,5.470,1.400,1.862,2.030,1.854,2.020
Chelsea,Brighton and,14:30,1.420,4.580,8.630,2.020,1.869,1.892,1.970
Brentford,Manchester City,15:15,15.500,7.610,1.182,2.030,1.847,2.040,1.819
Everton,Newcastle United,14:30,1.917,3.550,4.310,1.917,1.970,2.010,1.862
Manchester United,Burnley,15:15,1.328,5.470,9.670,2.020,1.877,1.806,2.080
Arsenal,Manchester City,07:30,5.750,4.630,1.500,2.010,1.833,1.952,1.869
Watford,Tottenham Hotspur,10:00,4.560,3.740,1.763,1.847,2.000,1.877,1.943
Leicester City,Norwich City,10:00,1.495,4.340,6.350,1.819,2.030,1.854,1.970
Crystal Palace,West Ham,12:30,2.880,3.390,2.460,2.090,1.775,2.010,1.819
Southampton,Newcastle United,09:00,1.826,3.620,4.370,1.826,2.020,1.869,1.952
Leeds United,Burnley,09:00,2.090,3.520,3.470,1.806,2.040,1.847,1.970
Brentford,Aston Villa,09:00,2.740,3.490,2.510,2.010,1.833,1.793,2.040
Everton,Brighton and,09:00,2.470,3.190,3.030,2.100,1.763,1.900,1.917
Chelsea,Liverpool,11:30,2.590,3.620,2.590,1.917,1.917,2.020,1.806
Manchester United,Wolves,12:30,1.529,4.340,5.820,1.934,1.900,1.862,1.961
